指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="000682",科创信息,2021-08-16,=-0.0444,=2207.8700,=0.1074,=156.3030,=0.9557,=41.6131,=58.1409,=89.8684,=124.7899,=187.1367,=8.4090,=0.9718,=3.3247,=4.3114,=5.1016,=6.1546,=9.1312,=12.9586,=0.9708,=5.5790,=7.2399,=8.7023,=10.3997,=14.0764,=0.0344,=0.0366,=0.0247,=0.0020,=89
="950125",科创半导体材料设备,2024-07-26,=-0.0559,=2441.6100,=0.1365,=158.1306,=0.8780,=70.4245,=111.8221,=123.9406,=146.1211,=184.6174,=6.6520,=0.8862,=2.8469,=4.5990,=5.1059,=6.1662,=7.4583,=15.0002,=0.9024,=7.2923,=10.3148,=12.2917,=13.7783,=16.5622,=0.0306,,,=0.0008,=64
="000689",科创材料,2022-08-15,=-0.0409,=1281.3600,=0.0569,=161.5579,=0.9750,=38.7753,=44.5526,=72.0200,=132.6618,=182.4891,=4.3122,=0.8252,=1.9307,=2.5287,=3.0797,=4.2451,=5.8296,=6.3360,=0.9774,=2.1963,=3.0860,=3.8924,=4.5700,=7.1569,=0.0250,=0.0161,=0.0205,=0.0040,=19
="932000",中证2000,2023-08-11,=-0.0241,=3381.3600,=0.0556,=161.7122,=0.9517,=44.0427,=57.0456,=76.3812,=145.5983,=171.2622,=2.9730,=0.9733,=1.5089,=1.9296,=2.2840,=2.6958,=3.1494,=2.4001,=0.9733,=1.1809,=1.5125,=1.7762,=2.1777,=2.5418,=0.0290,=0.0158,=0.0302,=0.0073,=972
="000688",科创50,2020-07-23,=-0.0388,=1450.9000,=0.0794,=167.3585,=0.9545,=35.5957,=42.3361,=64.2252,=98.4510,=196.9562,=6.4184,=0.7280,=2.9443,=4.0152,=4.7497,=6.7011,=9.0182,=7.2731,=0.6788,=3.1319,=4.2965,=5.3684,=9.5545,=13.2586,=0.0296,=0.0405,=0.0336,=0.0032,=7303
="930902",中证数据,2016-10-18,=-0.0270,=3518.6000,=0.1034,=178.1435,=0.9000,=37.6891,=56.8570,=77.1423,=116.9880,=366.0842,=4.9389,=0.9049,=2.4001,=3.4007,=3.9543,=4.6306,=5.5171,=3.3195,=0.4500,=2.0473,=2.8802,=3.4233,=4.1754,=7.0542,=0.0264,=0.0116,=0.0125,=0.0039,=229
="000685",科创芯片,2022-06-13,=-0.0510,=2931.2300,=0.1216,=194.3271,=0.9345,=42.1555,=59.5952,=113.4426,=171.9583,=235.0390,=8.6289,=0.9673,=3.1235,=3.9724,=4.7686,=5.8651,=9.3949,=17.8169,=0.9650,=7.4796,=9.8239,=11.9267,=13.4935,=19.5619,=0.0311,=0.0296,=0.0194,=0.0009,=377
="000690",科创成长,2022-11-04,=-0.0370,=1958.2100,=0.0444,=196.6368,=0.8617,=26.4295,=37.5272,=79.1444,=130.0306,=288.8500,=13.8785,=0.9670,=3.7827,=4.7937,=5.3535,=7.8534,=15.0742,=17.6573,=0.9695,=2.7510,=3.9177,=4.6616,=11.0168,=19.2028,=0.0569,=0.0725,=0.0556,=0.0015,=103
="000698",科创100,2023-08-07,=-0.0469,=1581.8700,=0.0850,=207.9604,=0.3692,=60.6995,=130.7785,=221.1823,=258.3994,=337.2511,=6.2801,=0.9702,=2.7397,=3.5308,=4.0586,=4.8556,=6.7990,=9.3143,=0.9669,=4.0312,=5.0031,=5.9028,=7.4672,=10.0837,=0.0206,=0.0158,=0.0129,=0.0030,=450
="930601",中证软件,2015-03-10,=-0.0321,=6692.9600,=0.0645,=215.9246,=0.9316,=29.3378,=52.0928,=79.0550,=118.7082,=302.4908,=6.1827,=0.8307,=2.7207,=3.9642,=4.6791,=5.8723,=8.5888,=6.2143,=0.8007,=2.8007,=4.0746,=4.9718,=6.2114,=10.6950,=0.0139,=0.0182,=0.0047,=0.0049,=363
